"...1";"ID";"CASRN";"DTXSID";"Name";"IUPAC.NAME";"Molecular.formula";"SMILES";"InChI.String";"InChIKey";"Averagre.mass..amu.";"Monoisotopic.mass..amu.";"ORLD50";"DMLC50";"TPIGC50";"FMLC50";"DT";"AM";"ToxPi"
806;806;"37143-54-7";"DTXSID4029359";"1-Methoxy-2-propylamine";"1-Methoxypropan-2-amine";"C4H11NO";"COCC(C)N";"InChI=1/C4H11NO/c1-4(5)3-6-2/h4H,3,5H2,1-2H3";"NXMXETCTWNXSFG-UHFFFAOYSA-N";"89.138";"89.08406398";"N/A";"2.64";"2.17";"1.83";"0.62";"0";"0.0499"
807;807;"3724-65-0";"DTXSID7027544";"2-Butenoic acid";"But-2-enoic acid";"C4H6O2";"CC=CC(O)=O";"InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)";"LDHQCZJRKDOVOX-UHFFFAOYSA-N";"86.09";"86.03677943";"1.94";"3.09";"2.46";"3.16";"0.72";"0.35";"0.0524"
808;808;"3748-13-8";"DTXSID7027546";"1,3-Diisopropenylbenzene";"1,3-Di(prop-1-en-2-yl)benzene";"C12H14";"CC(=C)C1=CC(=CC=C1)C(C)=C";"InChI=1S/C12H14/c1-9(2)11-6-5-7-12(8-11)10(3)4/h5-8H,1,3H2,2,4H3";"IBVPVTPPYGGAEL-UHFFFAOYSA-N";"158.244";"158.1095505";"N/A";"5.21";"N/A";"4.79";"0.76";"N/A";"0.0549"
809;809;"37764-25-3";"DTXSID4027997";"Dichlormid";"2,2-Dichloro-N,N-di(prop-2-en-1-yl)acetamide";"C8H11Cl2NO";"ClC(Cl)C(=O)N(CC=C)CC=C";"InChI=1S/C8H11Cl2NO/c1-3-5-11(6-4-2)8(12)7(9)10/h3-4,7H,1-2,5-6H2";"YRMLFORXOOIJDR-UHFFFAOYSA-N";"208.08";"207.0217694";"2.02";"4.58";"N/A";"4.27";"0.82";"0.59";"0.076"
810;810;"38103-06-9";"DTXSID3028001";"2,2-Bis(4-(3,4-dicarboxyphenoxy)phenyl)propane dianhydride";"5,5'-{Propane-2,2-diylbis[(4,1-phenylene)oxy]}di(2-benzofuran-1,3-dione)";"C31H20O8";"CC(C)(C1=CC=C(OC2=CC3=C(C=C2)C(=O)OC3=O)C=C1)C1=CC=C(OC2=CC3=C(C=C2)C(=O)OC3=O)C=C1";"InChI=1S/C31H20O8/c1-31(2,17-3-7-19(8-4-17)36-21-11-13-23-25(15-21)29(34)38-27(23)32)18-5-9-20(10-6-18)37-22-12-14-24-26(16-22)30(35)39-28(24)33/h3-16H,1-2H3";"MQAHXEQUBNDFGI-UHFFFAOYSA-N";"520.493";"520.1158176";"N/A";"N/A";"N/A";"N/A";"0.92";"0.29";"0.024"
811;811;"3811-73-2";"DTXSID3042390";"Sodium (2-pyridylthio)-N-oxide";"Sodium 1-oxo-1lambda~5~-pyridine-2-thiolate";"C5H4NNaOS";"[O-][N+]1=C(S)C=CC=C1";"InChI=1S/C5H5NOS.Na/c7-6-4-2-1-3-5(6)8;/h1-4,8H;/q;+1/p-1";"WNGMMIYXPIAYOB-UHFFFAOYSA-M";"149.14";"148.9911292";"N/A";"N/A";"N/A";"N/A";"0.65";"N/A";"0.3466"
812;812;"383-63-1";"DTXSID8041959";"Ethyl trifluoroacetate";"Ethyl trifluoroacetate";"C4H5F3O2";"CCOC(=O)C(F)(F)F";"InChI=1S/C4H5F3O2/c1-2-9-3(8)4(5,6)7/h2H2,1H3";"STSCVKRWJPWALQ-UHFFFAOYSA-N";"142.077";"142.0241639";"N/A";"3.08";"N/A";"1.15";"0.21";"0.59";"0.027"
813;813;"3844-45-9";"DTXSID2020189";"FD&C Blue No. 1";"Disodium 2-{(Z)-(4-{ethyl[(3-sulfonatophenyl)methyl]amino}phenyl)[(4Z)-4-{ethyl[(3-sulfonatophenyl)methyl]iminio}cyclohexa-2,5-dien-1-ylidene]methyl}benzene-1-sulfonate";"C37H34N2Na2O9S3";"CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC=CC(=C1)S(O)(=O)=O)C1=C(C=CC=C1)S(O)(=O)=O";"InChI=1S/C37H36N2O9S3.2Na/c1-3-38(25-27-9-7-11-33(23-27)49(40,41)42)31-19-15-29(16-20-31)37(35-13-5-6-14-36(35)51(46,47)48)30-17-21-32(22-18-30)39(4-2)26-28-10-8-12-34(24-28)50(43,44)45;;/h5-24H,3-4,25-26H2,1-2H3,(H2-,40,41,42,43,44,45,46,47,48);;/q;2*+1/p-2";"SGHZXLIDFTYFHQ-UHFFFAOYSA-L";"792.84";"792.1221828";"N/A";"N/A";"N/A";"N/A";"N/A";"0.33";"0.1937"
814;814;"3852-9-3";"DTXSID3052060";"Methyl 3-methoxypropionate";"Methyl 3-methoxypropanoate";"C5H10O3";"COCCC(=O)OC";"InChI=1S/C5H10O3/c1-7-4-3-5(6)8-2/h3-4H2,1-2H3";"BDJSOPWXYLFTNW-UHFFFAOYSA-N";"118.132";"118.0629942";"N/A";"2.61";"1.65";"2.42";"0.38";"0.09";"0.0173"
815;815;"3896-11-5";"DTXSID9036438";"Bumetrizole";"2-tert-Butyl-6-(5-chloro-2H-benzotriazol-2-yl)-4-methylphenol";"C17H18ClN3O";"CC1=CC(=C(O)C(=C1)N1N=C2C=CC(Cl)=CC2=N1)C(C)(C)C";"InChI=1S/C17H18ClN3O/c1-10-7-12(17(2,3)4)16(22)15(8-10)21-19-13-6-5-11(18)9-14(13)20-21/h5-9,22H,1-4H3";"OCWYEMOEOGEQAN-UHFFFAOYSA-N";"315.8";"315.1138399";"N/A";"5.34";"N/A";"5.94";"0.5";"0.7";"0.2037"
817;817;"393-75-9";"DTXSID8024781";"2-Chloro-1,3-dinitro-5-(trifluoromethyl)benzene";"2-Chloro-1,3-dinitro-5-(trifluoromethyl)benzene";"C7H2ClF3N2O4";"[O-][N+](=O)C1=CC(=CC(=C1Cl)N(=O)=O)C(F)(F)F";"InChI=1S/C7H2ClF3N2O4/c8-6-4(12(14)15)1-3(7(9,10)11)2-5(6)13(16)17/h1-2H";"HFHAVERNVFNSHL-UHFFFAOYSA-N";"270.55";"269.9655187";"2.46";"4.97";"4.38";"5.75";"0.91";"0";"0.0982"
818;818;"39515-51-0";"DTXSID3028005";"3-Phenoxybenzaldehyde";"3-Phenoxybenzaldehyde";"C13H10O2";"O=CC1=CC(OC2=CC=CC=C2)=CC=C1";"InChI=1S/C13H10O2/c14-10-11-5-4-8-13(9-11)15-12-6-2-1-3-7-12/h1-10H";"MRLGCTNJRREZHZ-UHFFFAOYSA-N";"198.221";"198.0680796";"2.21";"4.69";"4.35";"4.92";"0.51";"0.24";"0.1513"
819;819;"3965-55-7";"DTXSID6027551";"Sodium 3,5-bis(methoxycarbonyl)benzenesulfonate";"Sodium 3,5-bis(methoxycarbonyl)benzene-1-sulfonate";"C10H9NaO7S";"COC(=O)C1=CC(=CC(=C1)C(=O)OC)S(O)(=O)=O";"InChI=1S/C10H10O7S.Na/c1-16-9(11)6-3-7(10(12)17-2)5-8(4-6)18(13,14)15;/h3-5H,1-2H3,(H,13,14,15);/q;+1/p-1";"LLHSEQCZSNZLRI-UHFFFAOYSA-M";"296.22";"295.9966681";"N/A";"N/A";"N/A";"4.22";"1.05";"0.4";"0.016"
820;820;"40601-76-1";"DTXSID8028008";"Cyanox CY 1790";"1,3,5-Tris[(4-tert-butyl-3-hydroxy-2,6-dimethylphenyl)methyl]-1,3,5-triazinane-2,4,6-trione";"C42H57N3O6";"CC1=CC(=C(O)C(C)=C1CN1C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C(=O)N(CC2=C(C)C(O)=C(C=C2C)C(C)(C)C)C1=O)C(C)(C)C";"InChI=1S/C42H57N3O6/c1-22-16-31(40(7,8)9)34(46)25(4)28(22)19-43-37(49)44(20-29-23(2)17-32(41(10,11)12)35(47)26(29)5)39(51)45(38(43)50)21-30-24(3)18-33(42(13,14)15)36(48)27(30)6/h16-18,46-48H,19-21H2,1-15H3";"XYXJKPCGSGVSBO-UHFFFAOYSA-N";"699.933";"699.4247366";"N/A";"7.61";"N/A";"N/A";"N/A";"0.14";"0.1284"
821;821;"4067-16-7";"DTXSID7025843";"Pentaethylenehexamine";"3,6,9,12-Tetraazatetradecane-1,14-diamine";"C10H28N6";"NCCNCCNCCNCCNCCN";"InChI=1S/C10H28N6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h13-16H,1-12H2";"LSHROXHEILXKHM-UHFFFAOYSA-N";"232.376";"232.2375449";"2.16";"1.28";"1.74";"1.71";"-0.04";"1";"-"
822;822;"4075-81-4";"DTXSID1027556";"Calcium propionate";"Calcium dipropanoate";"C6H10CaO4";"[Ca++].CCC([O-])=O.CCC([O-])=O";"InChI=1S/2C3H6O2.Ca/c2*1-2-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+2/p-2";"BCZXFFBUYPCTSJ-UHFFFAOYSA-L";"186.22";"186.0204997";;;;;;;"0.1218"
823;823;"4083-64-1";"DTXSID1027558";"p-Toluenesulphonyl isocyanate";"4-Methylbenzene-1-sulfonyl isocyanate";"C8H7NO3S";"CC1=CC=C(C=C1)S(=O)(=O)N=C=O";"InChI=1S/C8H7NO3S/c1-7-2-4-8(5-3-7)13(11,12)9-6-10/h2-5H,1H3";"VLJQDHDVZJXNQL-UHFFFAOYSA-N";"197.21";"197.0146643";"1.95";"N/A";"N/A";"N/A";"0.58";"N/A";"0.0273"
824;824;"4098-71-9";"DTXSID0023826";"Isophorone diisocyanate";"5-Isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane";"C12H18N2O2";"CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O";"InChI=1/C12H18N2O2/c1-11(2)4-10(14-9-16)5-12(3,6-11)7-13-8-15/h10H,4-7H2,1-3H3";"NIMLQBUJDJZYEJ-UHFFFAOYSA-N";"222.288";"222.1368278";"1.66";"N/A";"N/A";"N/A";"0.79";"N/A";"0.2742"
825;825;"41317-15-1";"DTXSID3029364";"4-Methoxy-2-methyl-N-phenylaniline";"4-Methoxy-2-methyl-N-phenylaniline";"C14H15NO";"COC1=CC=C(NC2=CC=CC=C2)C(C)=C1";"InChI=1S/C14H15NO/c1-11-10-13(16-2)8-9-14(11)15-12-6-4-3-5-7-12/h3-10,15H,1-2H3";"CYMPUOGZUXAIMY-UHFFFAOYSA-N";"213.28";"213.1153641";"N/A";"4.55";"4.44";"4.77";"0.63";"0.33";"0.1995"
826;826;"4131-74-2";"DTXSID0027561";"Dimethyl 3,3'-thiodipropionate";"Dimethyl 3,3'-sulfanediyldipropanoate";"C8H14O4S";"COC(=O)CCSCCC(=O)OC";"InChI=1S/C8H14O4S/c1-11-7(9)3-5-13-6-4-8(10)12-2/h3-6H2,1-2H3";"MYWWWNVEZBAKHR-UHFFFAOYSA-N";"206.26";"206.0612801";"N/A";"4.13";"N/A";"3.71";"0.5";"0.22";"0.1561"
827;827;"41394-05-2";"DTXSID7047568";"Metamitron";"4-Amino-3-methyl-6-phenyl-1,2,4-triazin-5(4H)-one";"C10H10N4O";"CC1=NN=C(C(=O)N1N)C1=CC=CC=C1";"InChI=1S/C10H10N4O/c1-7-12-13-9(10(15)14(7)11)8-5-3-2-4-6-8/h2-6H,11H2,1H3";"VHCNQEUWZYOAEV-UHFFFAOYSA-N";"202.217";"202.085461";"2.15";"3.87";"N/A";"N/A";"0.61";"0.68";"0.0528"
828;828;"41484-35-9";"DTXSID7028011";"Thioethylene glycol bis(3,5-di-tert-butyl-4-hydroxyhydrocinnamate)";"Sulfanediyldi(ethane-2,1-diyl) bis[3-(3,5-di-tert-butyl-4-hydroxyphenyl)propanoate]";"C38H58O6S";"CC(C)(C)C1=CC(CCC(=O)OCCSCCOC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C";"InChI=1S/C38H58O6S/c1-35(2,3)27-21-25(22-28(33(27)41)36(4,5)6)13-15-31(39)43-17-19-45-20-18-44-32(40)16-14-26-23-29(37(7,8)9)34(42)30(24-26)38(10,11)12/h21-24,41-42H,13-20H2,1-12H3";"VFBJXXJYHWLXRM-UHFFFAOYSA-N";"642.94";"642.3954108";"2.01";"7.83";"N/A";"N/A";"0.47";"-0.06";"0.0949"
829;829;"41663-84-7";"DTXSID7028013";"N-Methyl-4-nitrophthalimide";"2-Methyl-5-nitro-1H-isoindole-1,3(2H)-dione";"C9H6N2O4";"CN1C(=O)C2=C(C=C(C=C2)N(=O)=O)C1=O";"InChI=1S/C9H6N2O4/c1-10-8(12)6-3-2-5(11(14)15)4-7(6)9(10)13/h2-4H,1H3";"JBCHWGTZAAZJKG-UHFFFAOYSA-N";"206.157";"206.0327567";"1.87";"3.37";"2.4";"4.07";"0.54";"0.76";"0.0557"
831;831;"4193-55-9";"DTXSID9044669";"C.I. Fluorescent Brightener 28, disodium salt";"Disodium 2,2'-[(E)-ethene-1,2-diyl]bis[5-({4-anilino-6-[bis(2-hydroxyethyl)amino]-1,3,5-triazin-2-yl}amino)benzene-1-sulfonate]";"C40H42N12Na2O10S2";"OCCN(CCO)C1=NC(NC2=CC=C(C=CC3=CC=C(NC4=NC(NC5=CC=CC=C5)=NC(=N4)N(CCO)CCO)C=C3S(O)(=O)=O)C(=C2)S(O)(=O)=O)=NC(NC2=CC=CC=C2)=N1";"InChI=1S/C40H44N12O10S2.2Na/c53-21-17-51(18-22-54)39-47-35(41-29-7-3-1-4-8-29)45-37(49-39)43-31-15-13-27(33(25-31)63(57,58)59)11-12-28-14-16-32(26-34(28)64(60,61)62)44-38-46-36(42-30-9-5-2-6-10-30)48-40(50-38)52(19-23-55)20-24-56;;/h1-16,25-26,53-56H,17-24H2,(H,57,58,59)(H,60,61,62)(H2,41,43,45,47,49)(H2,42,44,46,48,50);;/q;2*+1/p-2";"YJHDFAAFYNRKQE-UHFFFAOYSA-L";"960.95";"960.2383665";"N/A";"N/A";"N/A";"N/A";"N/A";"0.47";"-"
832;832;"420-04-2";"DTXSID9034490";"Cyanamide";"Cyanamide";"CH2N2";"NC#N";"InChI=1S/CH2N2/c2-1-3/h2H2";"XZMCDFZZKTWFGF-UHFFFAOYSA-N";"42.041";"42.02179807";"2.53";"2.74";"N/A";"N/A";"N/A";"N/A";"0.1181"
833;833;"42482-06-4";"DTXSID8041373";"2-Octen-1-ylsuccinic anhydride";"3-(Oct-2-en-1-yl)oxolane-2,5-dione";"C12H18O3";"CCCCCC=CCC1CC(=O)OC1=O";"InChI=1/C12H18O3/c1-2-3-4-5-6-7-8-10-9-11(13)15-12(10)14/h6-7,10H,2-5,8-9H2,1H3";"WSGFXVFLWVXTCJ-UHFFFAOYSA-N";"210.273";"210.1255944";"N/A";"N/A";"N/A";"N/A";"0.78";"0.28";"0.0235"
834;834;"4253-34-3";"DTXSID0027565";"Methylsilanetriyl triacetate";"Methylsilanetriyl triacetate";"C7H12O6Si";"CC(=O)O[Si](C)(OC(C)=O)OC(C)=O";"InChI=1S/C7H12O6Si/c1-5(8)11-14(4,12-6(2)9)13-7(3)10/h1-4H3";"TVJPBVNWVPUZBM-UHFFFAOYSA-N";"220.252";"220.0403146";"2.03";"N/A";"N/A";"N/A";"0.7";"0.21";"0.0841"
835;835;"42978-66-5";"DTXSID7028015";"Tripropylene glycol diacrylate";"1-{[1-({1-[(Prop-2-enoyl)oxy]propan-2-yl}oxy)propan-2-yl]oxy}propan-2-yl prop-2-enoate";"C15H24O6";"CC(COC(C)COC(=O)C=C)OCC(C)OC(=O)C=C";"InChI=1/C15H24O6/c1-6-14(16)20-9-12(4)18-8-11(3)19-10-13(5)21-15(17)7-2/h6-7,11-13H,1-2,8-10H2,3-5H3";"LJRSZGKUUZPHEB-UHFFFAOYSA-N";"300.351";"300.1572885";"N/A";"N/A";"3.91";"5.86";"0.36";"0.25";"0.2468"
836;836;"43121-43-3";"DTXSID3023897";"Triadimefon";"1-(4-Chlorophenoxy)-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butan-2-one";"C14H16ClN3O2";"CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1";"InChI=1/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3";"WURBVZBTWMNKQT-UHFFFAOYSA-N";"293.75";"293.0931045";"2.91";"4.36";"N/A";"4.5";"0.41";"0.24";"0.2474"
837;837;"4390-4-9";"DTXSID7052101";"2,2,4,4,6,8,8-Heptamethylnonane";"2,2,4,4,6,8,8-Heptamethylnonane";"C16H34";"CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C";"InChI=1/C16H34/c1-13(10-14(2,3)4)11-16(8,9)12-15(5,6)7/h13H,10-12H2,1-9H3";"VCLJODPNBNEBKW-UHFFFAOYSA-N";"226.448";"226.2660511";"N/A";"6.81";"4.39";"4.79";"0.49";"N/A";"0.1768"
839;839;"4420-74-0";"DTXSID2044428";"3-Mercaptopropyltrimethoxysilane";"3-(Trimethoxysilyl)propane-1-thiol";"C6H16O3SSi";"CO[Si](CCCS)(OC)OC";"InChI=1S/C6H16O3SSi/c1-7-11(8-2,9-3)6-4-5-10/h10H,4-6H2,1-3H3";"UUEWCQRISZBELL-UHFFFAOYSA-N";"196.34";"196.0589421";"2.41";"N/A";"N/A";"N/A";"0.6";"0.83";"0.1016"
840;840;"4433-79-8";"DTXSID5029265";"4'-Chloro-2',5'-dimethoxyacetoacetanilide";"N-(4-Chloro-2,5-dimethoxyphenyl)-3-oxobutanamide";"C12H14ClNO4";"COC1=CC(NC(=O)CC(C)=O)=C(OC)C=C1Cl";"InChI=1S/C12H14ClNO4/c1-7(15)4-12(16)14-9-6-10(17-2)8(13)5-11(9)18-3/h5-6H,4H2,1-3H3,(H,14,16)";"MOUVJGIRLPZEES-UHFFFAOYSA-N";"271.7";"271.0611356";"N/A";"3.72";"3.58";"4.07";"0.87";"0.21";"0.0976"
841;841;"4454-5-1";"DTXSID9027570";"3,4-Dihydro-2-methoxy-2H-pyran";"2-Methoxy-3,4-dihydro-2H-pyran";"C6H10O2";"COC1CCC=CO1";"InChI=1/C6H10O2/c1-7-6-4-2-3-5-8-6/h3,5-6H,2,4H2,1H3";"XCYWUZHUTJDTGS-UHFFFAOYSA-N";"114.144";"114.0680796";"1.91";"3.08";"1.81";"1.8";"0.66";"0.16";"0.0511"
842;842;"4455-26-9";"DTXSID9042209";"N-Methyldioctylamine";"N-Methyl-N-octyloctan-1-amine";"C17H37N";"CCCCCCCCN(C)CCCCCCCC";"InChI=1S/C17H37N/c1-4-6-8-10-12-14-16-18(3)17-15-13-11-9-7-5-2/h4-17H2,1-3H3";"YJLYANLCNIKXMG-UHFFFAOYSA-N";"255.49";"255.2926002";"N/A";"5.19";"5.95";"5.92";"0";"0.16";"0.2092"
843;843;"4475-95-0";"DTXSID9027572";"2-Amino-2-methyl-butyronitrile";"2-Amino-2-methylbutanenitrile";"C5H10N2";"CCC(C)(N)C#N";"InChI=1/C5H10N2/c1-3-5(2,7)4-6/h3,7H2,1-2H3";"JCLSEQJEXYHVTC-UHFFFAOYSA-N";"98.149";"98.08439833";"3.12";"3.88";"1.85";"3.03";"0.75";"-0.04";"-"
844;844;"44992-01-0";"DTXSID2028016";"2-(Dimethylamino)ethyl acrylate methochloride";"N,N,N-Trimethyl-2-[(prop-2-enoyl)oxy]ethan-1-aminium chloride";"C8H16ClNO2";"C[N+](C)(C)CCOC(=O)C=C";"InChI=1S/C8H16NO2.ClH/c1-5-8(10)11-7-6-9(2,3)4;/h5H,1,6-7H2,2-4H3;1H/q+1;/p-1";"FZGFBJMPSHGTRQ-UHFFFAOYSA-M";"193.67";"193.0869565";"N/A";"N/A";"N/A";"N/A";"0.77";"N/A";"0.0148"
845;845;"4553-62-2";"DTXSID4025612";"2-Methylpentanedinitrile";"2-Methylpentanedinitrile";"C6H8N2";"CC(CCC#N)C#N";"InChI=1/C6H8N2/c1-6(5-8)3-2-4-7/h6H,2-3H2,1H3";"FPPLREPCQJZDAQ-UHFFFAOYSA-N";"108.144";"108.0687483";"2.43";"4.68";"1.98";"3.4";"0.49";"1";"0.0794"
846;846;"460-00-4";"DTXSID4027153";"1-Bromo-4-fluorobenzene";"1-Bromo-4-fluorobenzene";"C6H4BrF";"FC1=CC=C(Br)C=C1";"InChI=1S/C6H4BrF/c7-5-1-3-6(8)4-2-5/h1-4H";"AITNMTXHTIIIBB-UHFFFAOYSA-N";"175";"173.948041";"1.81";"5.12";"3.11";"3.97";"N/A";"0.15";"0.1209"
847;847;"461-58-5";"DTXSID1020354";"Cyanoguanidine";"N-Cyanoguanidine";"C2H4N4";"NC(=N)NC#N";"InChI=1S/C2H4N4/c3-1-6-2(4)5/h(H4,4,5,6)";"QGBSISYHAICWAH-UHFFFAOYSA-N";"84.082";"84.04359615";"N/A";"2.8";"N/A";"N/A";"N/A";"1";"0.0902"
848;848;"4638-3-3";"DTXSID1041261";"Allyl 3-chloro-2-hydroxypropyl ether";"1-Chloro-3-[(prop-2-en-1-yl)oxy]propan-2-ol";"C6H11ClO2";"OC(CCl)COCC=C";"InChI=1/C6H11ClO2/c1-2-3-9-5-6(8)4-7/h2,6,8H,1,3-5H2";"DLVRPVNJFWEIFV-UHFFFAOYSA-N";"150.6";"150.0447573";"N/A";"3.3";"2.81";"2.96";"0.67";"0.28";"0.126"
849;849;"4685-14-7";"DTXSID3034799";"Paraquat";"1,1'-Dimethyl-4,4'-bipyridin-1-ium";"C12H14N2";"C[N+]1=CC=C(C=C1)C1=CC=[N+](C)C=C1";"InChI=1S/C12H14N2/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12/h3-10H,1-2H3/q+2";"INFDPOAKFNIJBF-UHFFFAOYSA-N";"186.257";"186.1146013";"N/A";"N/A";"N/A";"3.06";"0.35";"N/A";"-"
850;850;"4719-4-4";"DTXSID7025394";"Triazinetriethanol";"2,2',2''-(1,3,5-Triazinane-1,3,5-triyl)tri(ethan-1-ol)";"C9H21N3O3";"OCCN1CN(CCO)CN(CCO)C1";"InChI=1S/C9H21N3O3/c13-4-1-10-7-11(2-5-14)9-12(8-10)3-6-15/h13-15H,1-9H2";"HUHGPYXAVBJSJV-UHFFFAOYSA-N";"219.285";"219.1582915";"2.46";"2.57";"0.58";"0.9";"N/A";"0.47";"0.0762"
851;851;"473-55-2";"DTXSID7025922";"Pinane";"2,6,6-Trimethylbicyclo[3.1.1]heptane";"C10H18";"CC1CCC2CC1C2(C)C";"InChI=1/C10H18/c1-7-4-5-8-6-9(7)10(8,2)3/h7-9H,4-6H2,1-3H3";"XOKSLPVRUOBDEW-UHFFFAOYSA-N";"138.254";"138.1408506";"N/A";"4.17";"3.9";"5.12";"0.73";"0";"0.0296"
852;852;"4767-3-7";"DTXSID4027577";"3-Hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid";"3-Hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid";"C5H10O4";"CC(CO)(CO)C(O)=O";"InChI=1S/C5H10O4/c1-5(2-6,3-7)4(8)9/h6-7H,2-3H2,1H3,(H,8,9)";"PTBDIHRZYDMNKB-UHFFFAOYSA-N";"134.131";"134.0579088";"N/A";"1.91";"1.47";"1.72";"0.63";"0.15";"0.0165"
853;853;"4792-15-8";"DTXSID4027579";"Pentaethylene glycol";"3,6,9,12-Tetraoxatetradecane-1,14-diol";"C10H22O6";"OCCOCCOCCOCCOCCO";"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2";"JLFNLZLINWHATN-UHFFFAOYSA-N";"238.28";"238.1416384";"N/A";"1.52";"1.87";"1.32";"0.14";"0.31";"0.0426"
854;854;"48145-04-6";"DTXSID4040715";"2-Phenoxyethyl acrylate";"2-Phenoxyethyl prop-2-enoate";"C11H12O3";"C=CC(=O)OCCOC1=CC=CC=C1";"InChI=1S/C11H12O3/c1-2-11(12)14-9-8-13-10-6-4-3-5-7-10/h2-7H,1,8-9H2";"RZVINYQDSSQUKO-UHFFFAOYSA-N";"192.214";"192.0786442";"1.57";"N/A";"4.14";"5.31";"0.57";"0.11";"0.1258"
855;855;"482-89-3";"DTXSID3026279";"Indigo dye";"(2E)-2-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,2-dihydro-3H-indol-3-one";"C16H10N2O2";"O=C1C(NC2=C1C=CC=C2)C1=NC2=C(C=CC=C2)C1=O";"InChI=1S/C16H10N2O2/c19-15-9-5-1-3-7-11(9)17-13(15)14-16(20)10-6-2-4-8-12(10)18-14/h1-8,17-18H";"COHYTHOBJLSHDF-UHFFFAOYSA-N";"262.268";"262.0742276";"N/A";"4.26";"N/A";"6.18";"0.83";"0.74";"0.0185"
856;856;"4860-3-1";"DTXSID3027580";"1-Chlorohexadecane";"1-Chlorohexadecane";"C16H33Cl";"CCCCCCCCCCCCCCCCCl";"InChI=1S/C16H33Cl/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h2-16H2,1H3";"CLWAXFZCVYJLLM-UHFFFAOYSA-N";"260.89";"260.2270788";"N/A";"5.77";"6.34";"6.25";"0.18";"-0.07";"0.0307"
857;857;"4904-61-4";"DTXSID8027581";"1,5,9-Cyclododecatriene";"Cyclododeca-1,5,9-triene";"C12H18";"C1CC=CCCC=CCCC=C1";"InChI=1S/C12H18/c1-2-4-6-8-10-12-11-9-7-5-3-1/h1-2,7-10H,3-6,11-12H2";"ZOLLIQAKMYWTBR-UHFFFAOYSA-N";"162.276";"162.1408506";"1.96";"4.8";"4.91";"5.38";"0.83";"N/A";"0.2076"
858;858;"496-72-0";"DTXSID9024930";"3,4-Diaminotoluene";"4-Methylbenzene-1,2-diamine";"C7H10N2";"CC1=CC=C(N)C(N)=C1";"InChI=1S/C7H10N2/c1-5-2-3-6(8)7(9)4-5/h2-4H,8-9H2,1H3";"DGRGLKZMKWPMOH-UHFFFAOYSA-N";"122.171";"122.0843983";"N/A";"4.72";"2.74";"2.98";"0.32";"1";"0.252"
859;859;"497-39-2";"DTXSID1041502";"3-Methyl-4,6-di-tert-butylphenol";"2,4-Di-tert-butyl-5-methylphenol";"C15H24O";"CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C";"InChI=1S/C15H24O/c1-10-8-13(16)12(15(5,6)7)9-11(10)14(2,3)4/h8-9,16H,1-7H3";"WYSSJDOPILWQDC-UHFFFAOYSA-N";"220.356";"220.1827154";"N/A";"5.67";"4.59";"5.51";"0.73";"0.03";"0.264"
860;860;"4979-32-2";"DTXSID3027584";"N,N-Dicyclohexyl-2-benzothiazolesulfenamide";"N-[(1,3-Benzothiazol-2-yl)sulfanyl]-N-cyclohexylcyclohexanamine";"C19H26N2S2";"C1CCC(CC1)N(SC1=NC2=C(S1)C=CC=C2)C1CCCCC1";"InChI=1S/C19H26N2S2/c1-3-9-15(10-4-1)21(16-11-5-2-6-12-16)23-19-20-17-13-7-8-14-18(17)22-19/h7-8,13-16H,1-6,9-12H2";"CMAUJSNXENPPOF-UHFFFAOYSA-N";"346.55";"346.1537412";"1.73";"4.9";"N/A";"N/A";"0.41";"0.47";"0.2002"
