"...1";"ID";"CASRN";"DTXSID";"Name";"IUPAC.NAME";"Molecular.formula";"SMILES";"InChI.String";"InChIKey";"Averagre.mass..amu.";"Monoisotopic.mass..amu.";"ORLD50";"DMLC50";"TPIGC50";"FMLC50";"DT";"AM";"ToxPi"
33;33;"1980-9-1";"DTXSID3022409";"4,4'-Sulfonyldiphenol";"4,4'-Sulfonyldiphenol";"C12H10O4S";"OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1";"InChI=1S/C12H10O4S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8,13-14H";"VPWNQTHUCYMVMZ-UHFFFAOYSA-N";"250.27";"250.02998";"1.74";"4.51";"3.87";"4.16";"0.67";"0";"0.1771"
34;34;"1988-6-2";"DTXSID5021386";"2,4,6-Trichlorophenol";"2,4,6-Trichlorophenol";"C6H3Cl3O";"OC1=C(Cl)C=C(Cl)C=C1Cl";"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H";"LINPIYWFGCPVIE-UHFFFAOYSA-N";"197.44";"195.9249478";"2.38";"4.5";"4.41";"4.64";"N/A";"0";"0.1681"
35;35;"90-15-3";"DTXSID6021793";"1-Naphthol";"Naphthalen-1-ol";"C10H8O";"OC1=CC=CC2=CC=CC=C12";"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H";"KJCVRFUGPWSIIH-UHFFFAOYSA-N";"144.173";"144.0575149";"1.89";"4.43";"3.75";"4.54";"0.51";"0";"0.2682"
36;36;"90-43-7";"DTXSID2021151";"2-Phenylphenol";"[1,1'-Biphenyl]-2-ol";"C12H10O";"OC1=C(C=CC=C1)C1=CC=CC=C1";"InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H";"LLEMOWNGBBNAJR-UHFFFAOYSA-N";"170.211";"170.0731649";"1.93";"5.38";"4.09";"4.51";"0.8";"0.1";"0.3444"
37;37;"94-75-7";"DTXSID0020442";"2,4-Dichlorophenoxyacetic acid";"(2,4-Dichlorophenoxy)acetic acid";"C8H6Cl2O3";"OC(=O)COC1=C(Cl)C=C(Cl)C=C1";"InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)";"OVSKIKFHRZPJSS-UHFFFAOYSA-N";"221.03";"219.9693995";"2.77";"3.78";"3.95";"2.92";"0.52";"0";"0.1193"
38;38;"98-92-0";"DTXSID2020929";"Niacinamide";"Pyridine-3-carboxamide";"C6H6N2O";"NC(=O)C1=CC=CN=C1";"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)";"DFPAKSUCGFBDDF-UHFFFAOYSA-N";"122.127";"122.0480128";"1.54";"2.93";"1.97";"2.33";"0";"0";"0.0724"
39;39;"67-66-3";"DTXSID1020306";"Chloroform";"Trichloromethane";"CHCl3";"ClC(Cl)Cl";"InChI=1S/CHCl3/c2-1(3)4/h1H";"HEDRZPFGACZZDS-UHFFFAOYSA-N";"119.37";"117.9143831";"2.23";"3.25";"3.11";"3.09";"0.79";"0";"0.0302"
40;40;"1979-11-8";"DTXSID4020901";"Chloroacetic acid";"Chloroacetic acid";"C2H3ClO2";"OC(=O)CCl";"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)";"FOCAUTSVDIKZOP-UHFFFAOYSA-N";"94.49";"93.982157";"3.23";"2.8";"2.61";"2.66";"0.93";"0";"0.0306"
41;41;"100-00-5";"DTXSID5020281";"1-Chloro-4-nitrobenzene";"1-Chloro-4-nitrobenzene";"C6H4ClNO2";"[O-][N+](=O)C1=CC=C(Cl)C=C1";"InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H";"CZGCEKJOLUNIFY-UHFFFAOYSA-N";"157.55";"156.9930561";"2.57";"4.31";"3.43";"4.24";"0.32";"1";"0.196"
42;42;"100-01-6";"DTXSID8020961";"4-Nitroaniline";"4-Nitroaniline";"C6H6N2O2";"NC1=CC=C(C=C1)N(=O)=O";"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2";"TYMLOMAKGOJONV-UHFFFAOYSA-N";"138.126";"138.0429274";"2.27";"4.19";"4.12";"3.08";"0.25";"1";"0.1673"
43;43;"100-18-5";"DTXSID2026652";"1,4-Diisopropylbenzene";"1,4-Di(propan-2-yl)benzene";"C12H18";"CC(C)C1=CC=C(C=C1)C(C)C";"InChI=1S/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H,1-4H3";"SPPWGCYEYAMHDT-UHFFFAOYSA-N";"162.276";"162.1408506";"N/A";"5.14";"4.05";"4.75";"0.72";"N/A";"0.1613"
44;44;"100-20-9";"DTXSID7026653";"1,4-Benzenedicarbonyl dichloride";"Benzene-1,4-dicarbonyl dichloride";"C8H4Cl2O2";"ClC(=O)C1=CC=C(C=C1)C(Cl)=O";"InChI=1S/C8H4Cl2O2/c9-7(11)5-1-2-6(4-3-5)8(10)12/h1-4H";"LXEJRKJRKIFVNY-UHFFFAOYSA-N";"203.02";"201.9588348";"1.91";"4.22";"N/A";"4.55";"0.29";"1";"0.0272"
45;45;"100-21-0";"DTXSID6026080";"Terephthalic acid";"Benzene-1,4-dicarboxylic acid";"C8H6O4";"OC(=O)C1=CC=C(C=C1)C(O)=O";"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)";"KKEYFWRCBNTPAC-UHFFFAOYSA-N";"166.132";"166.0266087";"N/A";"3.19";"1.64";"3.81";"0.4";"0";"0.099"
46;46;"1002-69-3";"DTXSID5027352";"1-Chlorodecane";"1-Chlorodecane";"C10H21Cl";"CCCCCCCCCCCl";"InChI=1S/C10H21Cl/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3";"ZTEHOZMYMCEYRM-UHFFFAOYSA-N";"176.73";"176.1331784";"N/A";"4.71";"4.76";"5.52";"0.54";"0.04";"0.0379"
47;47;"100-29-8";"DTXSID7026655";"1-Ethoxy-4-nitrobenzene";"1-Ethoxy-4-nitrobenzene";"C8H9NO3";"CCOC1=CC=C(C=C1)N(=O)=O";"InChI=1S/C8H9NO3/c1-2-12-8-5-3-7(4-6-8)9(10)11/h3-6H,2H2,1H3";"NWPKEYHUZKMWKJ-UHFFFAOYSA-N";"167.164";"167.0582432";"1.71";"4.01";"3.83";"3.98";"0.54";"1";"0.167"
48;48;"100-37-8";"DTXSID5021837";"N,N-Diethylethanolamine";"2-(Diethylamino)ethan-1-ol";"C6H15NO";"CCN(CC)CCO";"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3";"BFSVOASYOCHEOV-UHFFFAOYSA-N";"117.192";"117.1153641";"1.96";"2.57";"1.5";"1.82";"0.36";"0";"0.1907"
49;49;"10042-59-8";"DTXSID9029302";"2-Propyl-1-heptanol";"2-Propylheptan-1-ol";"C10H22O";"CCCCCC(CO)CCC";"InChI=1/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H,3-9H2,1-2H3";"YLQLIQIAXYRMDL-UHFFFAOYSA-N";"158.285";"158.1670653";"N/A";"3.66";"3.6";"4.42";"0.8";"0.01";"0.0953"
50;50;"100-44-7";"DTXSID0020153";"Benzyl chloride";"(Chloromethyl)benzene";"C7H7Cl";"ClCC1=CC=CC=C1";"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2";"KCXMKQUNVWSEMD-UHFFFAOYSA-N";"126.58";"126.0236279";"2.01";"4.24";"3.06";"4.4";"0.34";"1";"0.1079"
51;51;"100-46-9";"DTXSID5021839";"Benzylamine";"1-Phenylmethanamine";"C7H9N";"NCC1=CC=CC=C1";"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2";"WGQKYBSKWIADBV-UHFFFAOYSA-N";"107.156";"107.0734993";"N/A";"4.11";"2.76";"3.02";"0.2";"0.19";"0.0539"
52;52;"100-47-0";"DTXSID7021491";"Benzonitrile";"Benzonitrile";"C7H5N";"N#CC1=CC=CC=C1";"InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H";"JFDZBHWFFUWGJE-UHFFFAOYSA-N";"103.124";"103.0421992";"N/A";"4.15";"2.48";"3";"0.15";"0";"0.0722"
53;53;"100-48-1";"DTXSID9041528";"4-Pyridinecarbonitrile";"Pyridine-4-carbonitrile";"C6H4N2";"N#CC1=CC=NC=C1";"InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H";"GPHQHTOMRSGBNZ-UHFFFAOYSA-N";"104.112";"104.0374481";"N/A";"3.84";"2.18";"2.73";"0.49";"0.01";"0.0439"
54;54;"100-50-5";"DTXSID1026661";"3-Cyclohexene-1-carboxaldehyde";"Cyclohex-3-ene-1-carbaldehyde";"C7H10O";"O=CC1CCC=CC1";"InChI=1/C7H10O/c8-6-7-4-2-1-3-5-7/h1-2,6-7H,3-5H2";"DCFDVJPDXYGCOK-UHFFFAOYSA-N";"110.156";"110.0731649";"1.68";"3.79";"3.38";"3.99";"0.24";"0.23";"0.0279"
55;55;"100-51-6";"DTXSID5020152";"Benzyl alcohol";"Phenylmethanol";"C7H8O";"OCC1=CC=CC=C1";"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2";"WVDDGKGOMKODPV-UHFFFAOYSA-N";"108.14";"108.0575149";"1.94";"3.53";"2.17";"2.37";"0.24";"0";"0.1304"
56;56;"100-52-7";"DTXSID8039241";"Benzaldehyde";"Benzaldehyde";"C7H6O";"O=CC1=CC=CC=C1";"InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H";"HUMNYLRZRPPJDN-UHFFFAOYSA-N";"106.124";"106.0418648";"1.91";"3.98";"2.8";"3.92";"0.19";"0";"0.0464"
57;57;"100-53-8";"DTXSID6026664";"Benzenemethanethiol";"Phenylmethanethiol";"C7H8S";"SCC1=CC=CC=C1";"InChI=1S/C7H8S/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2";"UENWRTRMUIOCKN-UHFFFAOYSA-N";"124.2";"124.0346714";"2.4";"4.97";"3.91";"3.65";"0.15";"0";"0.047"
